event_time,event_type,new_trend
2026-04-09 06:00:00,TWO_PAIR_FLIP,1.0
2026-04-15 11:00:00,TWO_PAIR_FLIP,-1.0
2026-04-28 05:00:00,TWO_PAIR_FLIP,1.0
2026-04-30 05:00:00,TWO_PAIR_FLIP,-1.0
2026-05-06 22:00:00,TWO_PAIR_FLIP,1.0
2026-05-13 14:00:00,TWO_PAIR_FLIP,-1.0
2026-05-25 12:00:00,TWO_PAIR_FLIP,1.0
2026-06-02 02:00:00,TWO_PAIR_FLIP,-1.0
2026-06-10 05:00:00,TWO_PAIR_FLIP,1.0
2026-06-11 06:00:00,TWO_PAIR_FLIP,-1.0
2026-06-15 02:00:00,TWO_PAIR_FLIP,1.0
2026-06-18 11:00:00,TWO_PAIR_FLIP,-1.0
2026-06-26 17:00:00,TWO_PAIR_FLIP,1.0
2026-07-07 17:00:00,TWO_PAIR_FLIP,-1.0
2026-07-15 23:00:00,TWO_PAIR_FLIP,1.0
2026-07-20 12:00:00,TWO_PAIR_FLIP,-1.0
2026-07-23 09:00:00,TWO_PAIR_FLIP,1.0
2026-07-28 15:00:00,TWO_PAIR_FLIP,-1.0
2026-07-31 00:00:00,TWO_PAIR_FLIP,1.0
