swing_type,swing_time,swing_price,confirmed_time
LOW,2024-08-14 07:00:00+01:00,1.0990219116210938,2024-08-14 12:00:00+01:00
HIGH,2024-08-14 15:00:00+01:00,1.1049723625183105,2024-08-14 20:00:00+01:00
LOW,2024-08-14 22:00:00+01:00,1.100594401359558,2024-08-15 03:00:00+01:00
LOW,2024-08-15 14:00:00+01:00,1.0954102277755737,2024-08-15 19:00:00+01:00
LOW,2024-08-19 11:00:00+01:00,1.1033873558044434,2024-08-19 16:00:00+01:00
HIGH,2024-08-19 22:00:00+01:00,1.109139323234558,2024-08-20 03:00:00+01:00
LOW,2024-08-20 08:00:00+01:00,1.1075423955917358,2024-08-20 13:00:00+01:00
HIGH,2024-08-21 01:00:00+01:00,1.1135857105255127,2024-08-21 06:00:00+01:00
LOW,2024-08-21 15:00:00+01:00,1.1104941368103027,2024-08-21 20:00:00+01:00
HIGH,2024-08-21 19:00:00+01:00,1.1176930665969849,2024-08-22 00:00:00+01:00
HIGH,2024-08-22 08:00:00+01:00,1.1161960363388062,2024-08-22 13:00:00+01:00
LOW,2024-08-22 15:00:00+01:00,1.1102476119995117,2024-08-22 20:00:00+01:00
HIGH,2024-08-23 08:00:00+01:00,1.1135857105255127,2024-08-23 13:00:00+01:00
LOW,2024-08-23 14:00:00+01:00,1.110987663269043,2024-08-23 19:00:00+01:00
LOW,2024-08-26 14:00:00+01:00,1.1155734062194824,2024-08-26 19:00:00+01:00
HIGH,2024-08-27 10:00:00+01:00,1.1181930303573608,2024-08-27 15:00:00+01:00
LOW,2024-08-27 13:00:00+01:00,1.1154489517211914,2024-08-27 18:00:00+01:00
HIGH,2024-08-27 19:00:00+01:00,1.119444727897644,2024-08-28 00:00:00+01:00
HIGH,2024-08-29 07:00:00+01:00,1.1143302917480469,2024-08-29 12:00:00+01:00
LOW,2024-08-29 09:00:00+01:00,1.1075423955917358,2024-08-29 14:00:00+01:00
LOW,2024-08-29 15:00:00+01:00,1.1059499979019165,2024-08-29 20:00:00+01:00
HIGH,2024-08-30 01:00:00+01:00,1.1086474657058716,2024-08-30 06:00:00+01:00
